ID,PadreID,Valor,Tipo
1285,1146,IF_STMT,non-terminal
1286,1285,if,terminal
1287,1285,(,terminal
1300,1285,a,terminal
1308,1285,<,terminal
1314,1285,b,terminal
1346,1285,),terminal
1347,1285,{,terminal
1359,1285,RETURN_STMT,non-terminal
1360,1359,return,terminal
1376,1359,a less than b,terminal
1389,1359,;,terminal
1419,1285,},terminal
1449,1146,PRINT_STMT,non-terminal
1450,1449,print,terminal
1451,1449,(,terminal
1465,1449,1,terminal
1489,1449,-,terminal
1494,1449,1,terminal
1521,1449,1,terminal
1529,1449,<,terminal
1536,1449,2,terminal
1560,1449,!,terminal
1564,1449,a,terminal
1591,1449,a,terminal
1597,1449,+,terminal
1603,1449,9,terminal
1630,1449,isEven,terminal
1632,1449,(,terminal
1636,1449,a,terminal
1637,1449,=,terminal
1650,1449,1,terminal
1680,1449,true,terminal
1707,1449,0,terminal
1720,1449,),terminal
1733,1449,),terminal
1734,1449,;,terminal
1764,1146,},terminal
